timestamp,host,process,event_type,message,source_ip,destination_ip,user,mitre_tactic,mitre_technique
Apr 22 08:00:00,localhost,sshd,ssh_invalid_user,Invalid user root from 45.33.32.156 port 25152 ssh2,45.33.32.156,45.33.32.156,root,T1110,Initial Access
Apr 22 08:00:12,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 14149 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:00:24,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 59540 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:00:36,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 7740 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:00:48,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 62092 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:01:00,localhost,sshd,ssh_invalid_user,Invalid user deploy from 45.33.32.156 port 54872 ssh2,45.33.32.156,45.33.32.156,deploy,T1110,Initial Access
Apr 22 08:01:12,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 31305 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:01:24,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 16509 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:01:36,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 41536 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:01:48,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 62771 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:02:00,localhost,sshd,ssh_invalid_user,Invalid user deploy from 45.33.32.156 port 13493 ssh2,45.33.32.156,45.33.32.156,deploy,T1110,Initial Access
Apr 22 08:02:12,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 22263 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:02:24,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 64507 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:02:36,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 7644 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:02:48,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 41100 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
Apr 22 08:03:00,localhost,sshd,ssh_invalid_user,Invalid user developer from 45.33.32.156 port 37161 ssh2,45.33.32.156,45.33.32.156,developer,T1110,Initial Access
Apr 22 08:03:12,localhost,sshd,ssh_login_fail,Failed password for admin from 45.33.32.156 port 60817 ssh2,45.33.32.156,45.33.32.156,admin,T1078,Valid Accounts
